territory,price,price_point_id
"FIN","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJGSU4iLCJwIjoiMTAyNTIifQ"
"FJI","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJGSkkiLCJwIjoiMTAyMjcifQ"
"FRA","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJGUkEiLCJwIjoiMTAyNTIifQ"
"FSM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJGU00iLCJwIjoiMTAyMjcifQ"
"GAB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHQUIiLCJwIjoiMTAyMjcifQ"
"GBR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHQlIiLCJwIjoiMTAyMjcifQ"
"GEO","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHRU8iLCJwIjoiMTAyNTIifQ"
"GHA","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHSEEiLCJwIjoiMTAyNTIifQ"
"GMB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHTUIiLCJwIjoiMTAyMjcifQ"
"GNB","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHTkIiLCJwIjoiMTAyMjcifQ"
"GRC","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHUkMiLCJwIjoiMTAyNTIifQ"
"GRD","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHUkQiLCJwIjoiMTAyMjcifQ"
"GTM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHVE0iLCJwIjoiMTAyMjcifQ"
"GUY","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJHVVkiLCJwIjoiMTAyMjcifQ"
"HKG","228.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJIS0ciLCJwIjoiMTAxNDkifQ"
"HND","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJITkQiLCJwIjoiMTAyMjcifQ"
"HRV","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJIUlYiLCJwIjoiMTAyNTIifQ"
"HUN","12990","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJIVU4iLCJwIjoiMTAyNjEifQ"
"IDN","499000","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJRE4iLCJwIjoiMTAzMjYifQ"
"IND","2999.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJTkQiLCJwIjoiMTAzMjgifQ"
"IRL","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJUkwiLCJwIjoiMTAyNTIifQ"
"IRQ","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJUlEiLCJwIjoiMTAyMjcifQ"
"ISL","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJU0wiLCJwIjoiMTAyNTIifQ"
"ISR","99.9","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJU1IiLCJwIjoiMTAyOTgifQ"
"ITA","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJJVEEiLCJwIjoiMTAyNTIifQ"
"JAM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJKQU0iLCJwIjoiMTAyMjcifQ"
"JOR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJKT1IiLCJwIjoiMTAyMjcifQ"
"JPN","5000","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJKUE4iLCJwIjoiMTAyODYifQ"
"KAZ","17990.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJLQVoiLCJwIjoiMTAzOTQifQ"
